Project,Symbol,Chain,APY,TVL,Risk,Score
morpho-blue,STEAKUSDC,Base,4.53,465970153,Low,100
morpho-blue,SKYMONEYUSDSFLAGSHIP,Ethereum,4.47,49873564,Low,100
morpho-blue,PT-APYUSD-18JUN2026,Ethereum,0.0,43489477,Low,100
morpho-blue,PUSDC,Base,4.53,38325502,Low,100
aave-v3,USDC,Base,2.94,34916321,Low,100
morpho-blue,STEAKUSDC,Katana,2.99,32846444,Low,100
compound-v3,USDC,Ethereum,4.69,31739676,Low,100
morpho-blue,ARMUSDCS,Ethereum,3.33,30006820,Low,100
morpho-blue,GUSDCQ,Ethereum,3.31,24538806,Low,100
morpho-blue,STUSDS,Ethereum,0.0,24103856,Low,100
morpho-blue,FRUSDC,Base,4.54,23809515,Low,100
morpho-blue,BBQUSDC,Ethereum,3.79,23776644,Low,100
morpho-blue,VBSHUSDC,Ethereum,3.06,23354567,Low,100
morpho-blue,KPK-USDC-PRIME,Ethereum,3.52,22352882,Low,100
aave-v3,USDC,Arbitrum,3.04,21080576,Low,100
morpho-blue,SYRUPUSDC,Ethereum,0.0,20277900,Low,100
morpho-blue,GTUSDCP,Base,4.53,371537407,Low,100
morpho-blue,GTUSDC,Ethereum,3.23,43710449,Low,100
morpho-blue,BBQUSDC,Ethereum,4.14,32374912,Low,100
aave-v3,USDC,Ethereum,4.33,144421013,Low,100
morpho-blue,SYRUPUSDC,Ethereum,0.0,53541301,Low,100
morpho-blue,STEAKUSDC,Ethereum,3.3,64333051,Low,100
morpho-blue,SYRUPUSDC,Ethereum,0.0,75491336,Low,100
morpho-blue,AA-FALCONXUSDC,Ethereum,0.0,77434171,Low,100
morpho-blue,SENPYUSD,Ethereum,2.9,272302480,Low,100
morpho-blue,GTUSDCP,Base,4.77,80762632,Low,100
morpho-blue,SUSDS,Ethereum,0.0,97230309,Low,100
morpho-blue,GTUSDCP,Ethereum,3.31,99604849,Low,100
morpho-blue,STEAKUSDC,Base,3.63,293895141,Low,100
morpho-blue,SENRLUSD,Ethereum,2.26,207466828,Low,100
morpho-blue,STEAKUSDC,Ethereum,3.06,114290346,Low,100
morpho-blue,STEAKUSDC,Base,4.77,129539108,Low,100
